date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-08-31,00,BTC-230831-25000-C,BTCUSDT,C,230831-25000,2415.00000000,2415.00000000,2260.00000000,2260.00000000,0.06000000,0.06000000,2140.00000000,2385.00000000,3.00000000,3.00000000,"",2.89821625,2219.00000000,0.77500000,0.99995060,3.4E-7,0.00156708,-0.20818899,2.47000000,67197.03807143
2023-08-31,00,BTC-230929-40000-P,BTCUSDT,P,230929-40000,12870.00000000,12870.00000000,12870.00000000,12870.00000000,0E-8,0E-8,12360.00000000,23875.00000000,3.00000000,1.50000000,"",4.79915619,12896.00000000,0.77500000,-0.94986756,0.00001729,7.96952916,-10.54290070,19.99000000,543833.51864289
2023-08-31,02,BTC-230901-29000-P,BTCUSDT,P,230901-29000,1225.00000000,1225.00000000,1225.00000000,1225.00000000,0E-8,0E-8,1720.00000000,1985.00000000,3.00000000,3.00000000,"",1.18384361,1829.00000000,0.66692181,-0.95141711,0.00009660,1.57696715,-43.51877397,36.21000000,984689.20504296
2023-08-31,02,BTC-231124-20000-P,BTCUSDT,P,231124-20000,240.00000000,240.00000000,240.00000000,240.00000000,0E-8,0E-8,220.00000000,235.00000000,0.05000000,15.00000000,"",0.48129380,227.00000000,0.47721386,-0.07387588,0.00002232,18.38436922,-5.14813179,75.63000000,2056670.65941450
2023-08-31,03,BTC-231027-26000-P,BTCUSDT,P,231027-26000,960.00000000,975.00000000,960.00000000,970.00000000,7.04000000,7.04000000,945.00000000,960.00000000,0.50000000,0.02000000,"",0.35497963,952.00000000,0.35309136,-0.34567700,0.00009695,39.71318345,-12.26447150,48.14000000,1310068.75059582
2023-08-31,03,BTC-231229-35000-P,BTCUSDT,P,231229-35000,6385.00000000,6385.00000000,6385.00000000,6385.00000000,0E-8,0E-8,8030.00000000,9375.00000000,1.50000000,2.16000000,"",0.63010931,8609.00000000,0.47946572,-0.78135144,0.00003941,46.07484491,-9.19194454,30.00000000,816411.76813200
2023-08-31,04,BTC-230831-28000-P,BTCUSDT,P,230831-28000,860.00000000,860.00000000,860.00000000,860.00000000,0.05000000,0.05000000,700.00000000,875.00000000,0.21000000,3.00000000,"",1.92982674,751.00000000,0.77500000,-0.96986512,0.00017472,0.34445452,-106.77101652,0.05000000,1362.65037363
2023-08-31,04,BTC-230901-32000-C,BTCUSDT,C,230901-32000,10.00000000,10.00000000,10.00000000,10.00000000,0E-8,0E-8,0E-8,5.00000000,0E-8,2.50000000,"",1.19477510,1.00000000,0.98488755,0.00181024,0.00000389,0.08761717,-3.83520748,83.47000000,2274808.53373208
2023-08-31,04,BTC-230908-24000-C,BTCUSDT,C,230908-24000,2095.00000000,2095.00000000,2095.00000000,2095.00000000,0E-8,0E-8,2710.00000000,3395.00000000,1.50000000,5.60000000,"",0.69679260,3266.00000000,0.42339630,0.97950439,0.00002871,2.01001018,-5.23710563,29.52000000,804508.78058909
2023-08-31,04,BTC-230929-35000-C,BTCUSDT,C,230929-35000,130.00000000,130.00000000,130.00000000,130.00000000,0E-8,0E-8,65.00000000,80.00000000,3.39000000,4.83000000,"",0.51735342,72.00000000,0.50744325,0.04708908,0.00002516,7.56792077,-6.59277043,56.16000000,1530528.89965728
2023-08-31,04,BTC-231229-35000-C,BTCUSDT,C,231229-35000,925.00000000,925.00000000,835.00000000,835.00000000,1.03000000,1.03000000,820.00000000,880.00000000,15.00000000,2.45000000,"",0.48944771,849.00000000,0.48300534,0.22231901,0.00003945,46.57095085,-9.36275380,67.05000000,1827314.15103314
2023-08-31,05,BTC-230901-23500-C,BTCUSDT,C,230901-23500,2760.00000000,2760.00000000,2760.00000000,2760.00000000,0E-8,0E-8,3565.00000000,3860.00000000,3.00000000,3.00000000,"",1.99542999,3750.00000000,0.77500000,0.99979068,6.9E-7,0.01173789,-0.41985095,0.04000000,1090.03955165
2023-08-31,05,BTC-230908-27000-C,BTCUSDT,C,230908-27000,835.00000000,845.00000000,655.00000000,720.00000000,8.73000000,8.73000000,700.00000000,715.00000000,1.50000000,2.00000000,"",0.36093473,707.00000000,0.35620451,0.57954446,0.00027067,15.85566916,-34.93517178,46.17000000,1258178.15249017
2023-08-31,05,BTC-231124-32000-P,BTCUSDT,P,231124-32000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,5205.00000000,5215.00000000,2.43000000,1.50000000,"",0.35284996,5209.00000000,0.35146832,-0.80564196,0.00005950,36.20179452,-7.47724721,0E-8,0E-8
2023-08-31,05,BTC-231124-34000-C,BTCUSDT,C,231124-34000,775.00000000,775.00000000,580.00000000,580.00000000,0.01000000,0.01000000,530.00000000,570.00000000,15.00000000,1.50000000,"",0.46143293,549.00000000,0.45574158,0.18521418,0.00004455,35.14465029,-9.41246411,56.49000000,1539408.35681545
2023-08-31,06,BTC-230929-33000-P,BTCUSDT,P,230929-33000,4375.00000000,4375.00000000,4375.00000000,4375.00000000,0E-8,0E-8,5545.00000000,6130.00000000,3.00000000,2.36000000,"",0.63087463,5801.00000000,0.39043732,-0.95372865,0.00003230,7.45183811,-5.00913834,24.03000000,654914.76340555
2023-08-31,06,BTC-240329-26000-P,BTCUSDT,P,240329-26000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,2495.00000000,2810.00000000,2.59000000,2.35000000,"",0.42283416,2652.00000000,0.40286452,-0.37946603,0.00004559,78.87166920,-7.52803832,0E-8,0E-8
2023-08-31,06,BTC-240628-30000-P,BTCUSDT,P,240628-30000,5900.00000000,5900.00000000,5900.00000000,5900.00000000,0E-8,0E-8,3415.00000000,7810.00000000,2.65000000,4.30000000,"",0.61904788,5563.00000000,0.39150715,-0.53645837,0.00004093,98.49227045,-6.38329588,5.33000000,145264.07361430
2023-08-31,09,BTC-230915-23000-P,BTCUSDT,P,230915-23000,45.00000000,50.00000000,45.00000000,50.00000000,2.14000000,2.14000000,35.00000000,45.00000000,15.15000000,20.66000000,"",0.48777044,39.00000000,0.47647715,-0.03680417,0.00003073,4.42729104,-7.07095429,23.65000000,643257.01531873
