date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp,strike_price,spot_price
2023-05-18,0,BTC-230526-29000-P,BTCUSDT,P,230526-29000,2105.0,2275.0,1800.0,1800.0,0.02,0.02,1730.0,1970.0,1.5,7.05,,0.54721355,1838.0,0.44138908,-0.80034828,0.00015366,11.53196277,-30.69392188,36.48,998057.76316485,2023-05-18 00:00:00+00:00,29000,
2023-05-18,1,BTC-230526-29000-P,BTCUSDT,P,230526-29000,2105.0,2275.0,1800.0,1800.0,0.02,0.02,1760.0,2010.0,1.5,1.5,,0.5599761,1872.0,0.44863582,-0.80194907,0.00015101,11.43324141,-31.08699635,36.48,996815.03788998,2023-05-18 01:00:00+00:00,29000,
2023-05-18,2,BTC-230526-29000-P,BTCUSDT,P,230526-29000,2105.0,2275.0,1800.0,1800.0,0.02,0.02,1790.0,1990.0,4.27,1.5,,0.56034565,1883.0,0.47653913,-0.78355392,0.00015008,12.03050499,-34.92181741,36.48,997823.65376696,2023-05-18 02:00:00+00:00,29000,
2023-05-18,3,BTC-230526-29000-P,BTCUSDT,P,230526-29000,2105.0,2275.0,1800.0,1800.0,0.02,0.02,1790.0,1990.0,4.27,1.5,,0.56882381,1884.0,0.48628807,-0.77723772,0.00014983,12.20542509,-36.33884207,36.48,998080.37274728,2023-05-18 03:00:00+00:00,29000,
2023-05-18,4,BTC-230526-29000-P,BTCUSDT,P,230526-29000,2105.0,2275.0,1800.0,1800.0,0.02,0.02,1665.0,2285.0,1.5,1.5,,0.75170279,1977.0,0.52585139,-0.76713289,0.00014274,12.45499809,-40.30436574,36.48,996242.01726609,2023-05-18 04:00:00+00:00,29000,
2023-05-18,5,BTC-230526-29000-P,BTCUSDT,P,230526-29000,2105.0,2275.0,1800.0,1800.0,0.02,0.02,1740.0,2345.0,1.5,1.5,,0.75621128,2041.0,0.52810564,-0.77821829,0.00013905,12.05006423,-39.36307903,36.48,993656.81997364,2023-05-18 05:00:00+00:00,29000,
2023-05-18,6,BTC-230526-29000-P,BTCUSDT,P,230526-29000,2105.0,2275.0,1800.0,1800.0,0.02,0.02,1840.0,2120.0,1.5,1.5,,0.58680296,1959.0,0.45024037,-0.82097334,0.0001438,10.56242258,-29.56863572,36.48,992623.40170545,2023-05-18 06:00:00+00:00,29000,
2023-05-18,7,BTC-230526-29000-P,BTCUSDT,P,230526-29000,1800.0,1835.0,1800.0,1835.0,4.5,4.5,1715.0,1900.0,2.92,5.15,,0.52232742,1800.0,0.43988943,-0.80051639,0.0001567,11.33557729,-31.16495895,36.48,999405.21009245,2023-05-18 07:00:00+00:00,29000,
2023-05-18,8,BTC-230526-29000-P,BTCUSDT,P,230526-29000,1800.0,1835.0,1800.0,1835.0,4.5,4.5,1675.0,1865.0,1.5,1.5,,0.49692631,1759.0,0.40540934,-0.82167638,0.00015907,10.55183868,-26.8762787,36.48,999854.27087487,2023-05-18 08:00:00+00:00,29000,
2023-05-18,9,BTC-230526-29000-P,BTCUSDT,P,230526-29000,1800.0,1835.0,1800.0,1835.0,4.5,4.5,1595.0,1865.0,1.5,1.5,,0.50548792,1746.0,0.40274396,-0.82217766,0.00016019,10.50998602,-26.73364545,36.48,999635.60734938,2023-05-18 09:00:00+00:00,29000,
