date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp
2023-06-29,8,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5235.0,6180.0,5.02,3.38,,0.48386812,5708.0,0.44426739,-0.4297797,2.91e-05,119.32492059,-7.26277013,0.0,0.0,2023-06-29 08:00:00+00:00
2023-06-29,9,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5315.0,6395.0,4.62,2.45,,0.50380707,5856.0,0.45852125,-0.42499945,2.808e-05,119.25274691,-7.49211004,0.0,0.0,2023-06-29 09:00:00+00:00
2023-06-29,10,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5160.0,6090.0,2.16,4.14,,0.4873991,5626.0,0.44863582,-0.41973018,2.838e-05,119.96627267,-7.37528811,0.0,0.0,2023-06-29 10:00:00+00:00
2023-06-29,11,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5055.0,6090.0,2.51,4.14,,0.48636913,5573.0,0.44322848,-0.42177766,2.879e-05,119.96519698,-7.2871618,0.0,0.0,2023-06-29 11:00:00+00:00
2023-06-29,12,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5055.0,6150.0,2.51,5.72,,0.48994422,5603.0,0.44425845,-0.42279181,2.878e-05,119.85160279,-7.2980129,0.0,0.0,2023-06-29 12:00:00+00:00
2023-06-29,13,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5055.0,6150.0,2.51,5.72,,0.48752666,5603.0,0.44179082,-0.42538088,2.904e-05,119.72074168,-7.2503801,0.0,0.0,2023-06-29 13:00:00+00:00
2023-06-29,14,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5055.0,6170.0,2.51,4.69,,0.4856956,5613.0,0.43904543,-0.42896595,2.937e-05,119.51833631,-7.19396471,0.0,0.0,2023-06-29 14:00:00+00:00
2023-06-29,15,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5055.0,6170.0,2.51,4.69,,0.48652768,5613.0,0.43989182,-0.42810416,2.929e-05,119.55409348,-7.21081337,0.0,0.0,2023-06-29 15:00:00+00:00
2023-06-29,16,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5055.0,6185.0,2.51,3.74,,0.48862696,5621.0,0.44137418,-0.42709444,2.915e-05,119.58171124,-7.23761102,0.0,0.0,2023-06-29 16:00:00+00:00
2023-06-29,17,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5055.0,6090.0,2.51,5.64,,0.48212647,5573.0,0.43889046,-0.42645245,2.927e-05,119.70146256,-7.20491355,0.0,0.0,2023-06-29 17:00:00+00:00
2023-06-29,18,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5055.0,6090.0,2.51,5.64,,0.48301816,5573.0,0.43979585,-0.42553182,2.918e-05,119.73901018,-7.22286684,0.0,0.0,2023-06-29 18:00:00+00:00
