date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-09-02,8,BTC-230905-25000-C,BTCUSDT,C,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,815.0,895.0,1.5,1.5,,0.41923285,850.0,0.34667015,0.84234292,0.00029945,5.59346192,-32.77316113,0.0,0.0
2023-09-02,8,BTC-230905-25000-P,BTCUSDT,P,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,35.0,55.0,2.45,5.07,,0.3235966,44.0,0.30274689,-0.12598563,0.00029454,4.80458147,-24.58422111,0.0,0.0
2023-09-02,9,BTC-230905-25000-C,BTCUSDT,C,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,835.0,915.0,1.5,1.5,,0.41710377,869.0,0.33842802,0.85814118,0.00028759,5.181901,-30.06331781,0.0,0.0
2023-09-02,9,BTC-230905-25000-P,BTCUSDT,P,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,2.45,2.8,,0.31345069,39.0,0.30233204,-0.11573622,0.00027951,4.49908544,-23.31792508,0.0,0.0
2023-09-02,10,BTC-230905-25000-C,BTCUSDT,C,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,820.0,915.0,4.21,4.09,,0.3912425,857.0,0.27062125,0.91578638,0.00024905,3.54291255,-16.6744969,0.0,0.0
2023-09-02,10,BTC-230905-25000-P,BTCUSDT,P,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,8.52,7.73,,0.33182204,39.0,0.30906588,-0.11330148,0.00027103,4.40334063,-23.66811931,0.0,0.0
2023-09-02,11,BTC-230905-25000-C,BTCUSDT,C,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,835.0,915.0,1.5,1.5,,0.41958809,869.0,0.33781528,0.86273582,0.00028582,4.99477408,-29.77595533,0.0,0.0
2023-09-02,11,BTC-230905-25000-P,BTCUSDT,P,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,5.0,9.69,,0.32928526,42.0,0.31272382,-0.11938502,0.00028023,4.53334996,-25.01789482,0.0,0.0
2023-09-02,12,BTC-230905-25000-C,BTCUSDT,C,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,795.0,885.0,6.25,8.53,,0.37875175,832.0,0.26437588,0.91776603,0.00025436,3.42616421,-16.22312981,0.0,0.0
2023-09-02,12,BTC-230905-25000-P,BTCUSDT,P,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,18.07,2.25,,0.3086549,34.0,0.29664516,-0.1071843,0.00027563,4.16590154,-22.13354195,0.0,0.0
2023-09-02,13,BTC-230905-25000-C,BTCUSDT,C,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,805.0,895.0,7.78,6.96,,0.37231207,847.0,0.26115603,0.9261958,0.00023883,3.13474119,-14.88460239,0.0,0.0
2023-09-02,13,BTC-230905-25000-P,BTCUSDT,P,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,18.57,2.25,,0.32694995,39.0,0.31541377,-0.11444097,0.00027355,4.33640447,-24.86828979,0.0,0.0
2023-09-02,14,BTC-230905-25000-C,BTCUSDT,C,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,850.0,945.0,3.28,6.96,,0.40660858,888.0,0.27830429,0.92421414,0.00023009,3.17926999,-16.33478213,0.0,0.0
2023-09-02,14,BTC-230905-25000-P,BTCUSDT,P,230905-25000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,7.06,7.91,,0.34008443,37.0,0.32177627,-0.10679398,0.00025674,4.10154218,-24.36504567,0.0,0.0
