date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-06-12,8,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,375.0,360.0,375.0,1.01,1.01,365.0,405.0,4.57,2.5,,0.46453059,384.0,0.44305176,0.48571077,0.00038529,9.311435,-69.7256025,1.01,26189.6756978
2023-06-12,9,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,375.0,360.0,375.0,1.01,1.01,385.0,425.0,2.5,2.7,,0.47678351,405.0,0.45518398,0.4953111,0.00037756,9.25942509,-72.25243312,1.01,26226.8185033
2023-06-12,10,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,430.0,360.0,430.0,1.02,1.02,390.0,420.0,2.5,4.68,,0.47523856,404.0,0.45892119,0.49501584,0.0003772,9.19266978,-73.36859144,1.02,26484.49951649
2023-06-12,11,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,430.0,360.0,430.0,1.02,1.02,405.0,440.0,0.02,4.68,,0.48760772,422.0,0.46844959,0.5041373,0.0003719,9.13438559,-75.51144228,1.02,26505.84934945
2023-06-12,12,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,430.0,360.0,430.0,1.02,1.02,365.0,390.0,7.18,4.68,,0.46717823,377.0,0.45334727,0.48150236,0.00038761,9.03779508,-73.38345133,1.02,26447.66014286
2023-06-12,13,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,430.0,360.0,430.0,1.02,1.02,305.0,335.0,6.67,4.68,,0.47644079,319.0,0.45939773,0.4313077,0.000382,8.80156157,-73.51637123,1.02,26323.3893956
2023-06-12,14,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,430.0,360.0,430.0,1.02,1.02,345.0,380.0,0.02,2.5,,0.50911367,362.0,0.48926413,0.45176201,0.00036358,8.81646219,-79.63495892,1.02,26325.46279781
2023-06-12,15,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,430.0,360.0,365.0,5.7,5.7,365.0,370.0,4.02,5.2,,0.51163197,367.0,0.50876766,0.4469375,0.00035208,8.72826214,-83.26196752,5.7,147206.0408901
2023-06-12,16,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,430.0,360.0,365.0,9.72,9.72,335.0,365.0,4.7,9.88,,0.50977945,349.0,0.49244106,0.44415041,0.00036627,8.65152647,-81.14948691,9.72,250980.66367916
2023-06-12,17,BTC-230615-26000-C,BTCUSDT,C,230615-26000,360.0,430.0,335.0,335.0,9.74,9.74,330.0,365.0,2.04,7.26,,0.52448869,347.0,0.50403297,0.437846,0.00036016,8.55545417,-83.46216097,9.74,251522.37775822
