date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-08-04,11,BTC-230811-27000-P,BTCUSDT,P,230811-27000,50.0,50.0,45.0,45.0,0.02,0.02,30.0,40.0,21.99,27.23,,0.37171185,34.0,0.36057532,-0.0557979,7.818e-05,4.49058914,-11.84775269,23.57,687699.369823
2023-08-04,12,BTC-230811-27000-P,BTCUSDT,P,230811-27000,50.0,50.0,45.0,45.0,0.02,0.02,25.0,40.0,26.24,23.6,,0.3795439,32.0,0.3618145,-0.05185493,7.361e-05,4.23210344,-11.27288669,23.57,688717.53166043
2023-08-04,13,BTC-230811-27000-P,BTCUSDT,P,230811-27000,50.0,50.0,45.0,45.0,0.02,0.02,25.0,30.0,19.51,0.12,,0.3605777,27.0,0.35410106,-0.04635089,6.893e-05,3.86012763,-10.1249848,23.57,689183.60898451
2023-08-04,14,BTC-230811-27000-P,BTCUSDT,P,230811-27000,45.0,45.0,45.0,45.0,0.01,0.01,25.0,30.0,19.51,17.62,,0.36329925,27.0,0.35678267,-0.04615202,6.836e-05,3.83665721,-10.20261212,23.57,689546.62842646
2023-08-04,15,BTC-230811-27000-P,BTCUSDT,P,230811-27000,45.0,45.0,45.0,45.0,0.01,0.01,25.0,30.0,18.09,20.41,,0.36655247,27.0,0.35999,-0.04589231,6.761e-05,3.80968474,-10.28584523,23.57,689922.79785614
2023-08-04,16,BTC-230811-27000-P,BTCUSDT,P,230811-27000,45.0,45.0,45.0,45.0,0.01,0.01,25.0,30.0,0.3,20.3,,0.36666453,27.0,0.36009431,-0.04601873,6.798e-05,3.8050607,-10.34096836,23.57,689785.0066
2023-08-04,17,BTC-230811-27000-P,BTCUSDT,P,230811-27000,45.0,45.0,45.0,45.0,0.01,0.01,25.0,30.0,0.3,20.3,,0.35985649,27.0,0.35336256,-0.04700772,7.084e-05,3.84983911,-10.33205022,23.57,688291.3757
2023-08-04,18,BTC-230811-27000-P,BTCUSDT,P,230811-27000,45.0,45.0,30.0,30.0,4.18,4.18,25.0,30.0,17.76,2.5,,0.34434736,27.0,0.33803701,-0.04920184,7.741e-05,3.96213985,-10.23705137,27.74,806058.75374716
2023-08-04,19,BTC-230811-27000-P,BTCUSDT,P,230811-27000,45.0,45.0,30.0,30.0,4.18,4.18,25.0,35.0,21.13,20.82,,0.3521651,29.0,0.34016073,-0.05270034,8.161e-05,4.16608835,-10.90105476,27.74,805393.99360661
2023-08-04,20,BTC-230811-27000-P,BTCUSDT,P,230811-27000,45.0,45.0,30.0,30.0,4.18,4.18,25.0,35.0,20.62,20.9,,0.3454119,29.0,0.33354938,-0.05385953,8.513e-05,4.21614028,-10.8873945,27.74,803519.79385284
