date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-06-28,12,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,525.0,1300.0,2.7,2.7,,0.93237638,938.0,0.56618819,0.66749965,0.00024369,9.56272014,-96.97212147,0.0,0.0
2023-06-28,14,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,925.0,1130.0,2.4,2.4,,0.62570095,1022.0,0.50287724,0.74207103,0.000246,8.43492763,-78.3085839,0.0,0.0
2023-06-28,13,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,795.0,1015.0,2.4,2.4,,0.58196545,899.0,0.45309544,0.73097944,0.00027788,8.65159773,-71.2724172,0.0,0.0
2023-06-28,15,BTC-230701-29500-P,BTCUSDT,P,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,140.0,160.0,7.88,2.4,,0.47555745,149.0,0.46238124,-0.21478258,0.00024296,7.59085727,-65.80977737,0.0,0.0
2023-06-28,18,BTC-230701-29500-P,BTCUSDT,P,230701-29500,210.0,210.0,210.0,210.0,0.01,0.01,170.0,195.0,7.88,2.4,,0.46550751,182.0,0.45023561,-0.26079349,0.00028634,8.18658655,-72.5090354,0.01,301.94374286
2023-06-28,10,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,660.0,1300.0,2.7,2.7,,0.76781273,1036.0,0.48390636,0.74977143,0.00024401,8.56040504,-72.04204879,0.0,0.0
2023-06-28,15,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,975.0,1210.0,2.4,2.7,,0.64209223,1081.0,0.48851848,0.77332637,0.00023717,7.82879971,-71.70931326,0.0,0.0
2023-06-28,17,BTC-230701-29500-P,BTCUSDT,P,230701-29500,210.0,210.0,210.0,210.0,0.01,0.01,185.0,220.0,7.88,2.4,,0.47686577,202.0,0.45627862,-0.27754637,0.00028958,8.50293379,-75.0907651,0.01,301.5306011
2023-06-28,21,BTC-230701-29500-P,BTCUSDT,P,230701-29500,210.0,300.0,210.0,300.0,0.02,0.02,155.0,185.0,7.88,2.4,,0.44437706,169.0,0.42564064,-0.26349237,0.00031291,8.00842764,-70.52474401,0.02,602.74298022
2023-06-28,19,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,710.0,925.0,2.4,2.4,,0.58713198,813.0,0.4603076,0.70733858,0.00029982,8.56292695,-78.83124174,0.0,0.0
2023-06-28,16,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,890.0,1105.0,2.4,2.4,,0.64867973,992.0,0.52203536,0.72481957,0.00024915,8.5656058,-85.17198844,0.0,0.0
2023-06-28,11,BTC-230701-29500-P,BTCUSDT,P,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,2.53,0.0,,-1e-08,294.0,0.58768008,-0.29096267,0.00021843,9.15607947,-94.95570905,0.0,0.0
2023-06-28,16,BTC-230701-29500-P,BTCUSDT,P,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,170.0,185.0,7.88,2.4,,0.46576083,177.0,0.45654804,-0.24922428,0.00027078,8.14147546,-70.79920449,0.0,0.0
2023-06-28,22,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,685.0,900.0,2.4,2.4,,0.56711435,786.0,0.43203592,0.72618024,0.00031735,8.08617793,-73.54741725,0.0,0.0
2023-06-28,9,BTC-230701-29500-P,BTCUSDT,P,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.09,0.0,,-1e-08,180.0,0.45,-0.24525768,0.00025802,8.52105132,-65.73356361,0.0,0.0
2023-06-28,17,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,750.0,955.0,2.4,2.4,,0.56894302,847.0,0.44598699,0.72670857,0.00029402,8.43854725,-72.84126567,0.0,0.0
2023-06-28,23,BTC-230701-29500-P,BTCUSDT,P,230701-29500,210.0,300.0,185.0,185.0,1.27,1.27,170.0,190.0,7.88,2.4,,0.43885291,179.0,0.42647183,-0.2787395,0.00032749,8.07777154,-73.81981972,1.27,38202.06724835
2023-06-28,21,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,725.0,925.0,2.4,2.4,,0.56817055,819.0,0.4435575,0.72856886,0.0003048,8.12922309,-74.60194361,0.0,0.0
2023-06-28,12,BTC-230701-29500-P,BTCUSDT,P,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,250.0,345.0,2.25,2.7,,0.57579875,297.0,0.52541465,-0.32171135,0.00025911,9.43549173,-88.79149235,0.0,0.0
2023-06-28,19,BTC-230701-29500-P,BTCUSDT,P,230701-29500,210.0,300.0,210.0,300.0,0.02,0.02,195.0,220.0,7.88,10.28,,0.46574116,207.0,0.45105726,-0.28909084,0.00030422,8.51393621,-76.80509838,0.02,602.28614506
2023-06-28,20,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,730.0,915.0,2.4,2.4,,0.57403684,819.0,0.46379149,0.71020643,0.00029861,8.45487218,-79.75483329,0.0,0.0
2023-06-28,10,BTC-230701-29500-P,BTCUSDT,P,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,5.0,240.0,0.09,2.7,,0.53108692,104.0,0.36554346,-0.18950232,0.00027527,7.2948378,-46.37512208,0.0,0.0
2023-06-28,20,BTC-230701-29500-P,BTCUSDT,P,230701-29500,210.0,300.0,210.0,300.0,0.02,0.02,185.0,205.0,7.88,2.4,,0.45506656,194.0,0.4430753,-0.28158143,0.00030833,8.3400188,-75.1574019,0.02,602.00611868
2023-06-28,23,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,680.0,880.0,2.4,2.4,,0.57087183,775.0,0.44759631,0.7124495,0.00031673,8.19930267,-78.6419877,0.0,0.0
2023-06-28,9,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1e-08,1216.0,0.7,0.67781598,0.00018912,9.71528059,-116.58290439,0.0,0.0
2023-06-28,22,BTC-230701-29500-P,BTCUSDT,P,230701-29500,210.0,300.0,210.0,300.0,0.02,0.02,170.0,185.0,7.88,2.4,,0.43844223,177.0,0.4291451,-0.27255045,0.00031875,8.0675836,-72.88730695,0.02,602.12775604
2023-06-28,13,BTC-230701-29500-P,BTCUSDT,P,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,200.0,220.0,7.88,2.7,,0.47688425,209.0,0.46543151,-0.27408203,0.00027304,8.73228401,-73.89569162,0.0,0.0
2023-06-28,11,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,660.0,1300.0,2.7,2.7,,0.7911396,1024.0,0.4955698,0.74022491,0.00024497,8.65893099,-75.72506787,0.0,0.0
2023-06-28,8,BTC-230701-29500-C,BTCUSDT,C,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,925.0,1025.0,2.58,2.07,,0.51465273,973.0,0.45767069,0.74242896,0.00025876,8.79837863,-68.05764931,0.0,0.0
2023-06-28,14,BTC-230701-29500-P,BTCUSDT,P,230701-29500,0.0,0.0,0.0,0.0,0.0,0.0,155.0,175.0,7.88,2.4,,0.46227634,164.0,0.44982076,-0.23528834,0.0002618,8.02975248,-66.68185666,0.0,0.0
