date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt
2023-06-18,10,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,275.0,330.0,2.5,2.5,,0.34742236,302.0,0.31811297,0.50986482,0.0005329,9.38267432,-51.90849342,0.0,0.0
2023-06-18,9,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,295.0,340.0,4.68,4.68,,0.34487009,317.0,0.32105595,0.52012376,0.00052334,9.44823984,-52.00116975,0.0,0.0
2023-06-18,21,BTC-230621-26500-C,BTCUSDT,C,230621-26500,405.0,405.0,405.0,405.0,0.1,0.1,290.0,340.0,2.91,2.5,,0.44547677,314.0,0.41621983,0.46745094,0.00044451,8.54515181,-73.58575043,0.1,2641.3759011
2023-06-18,18,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,400.0,435.0,0.01,2.7,,0.42017579,417.0,0.40019661,0.56073503,0.00044354,8.75935474,-68.95963525,0.0,0.0
2023-06-18,16,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,365.0,400.0,0.29,2.7,,0.37522078,382.0,0.35552591,0.5650245,0.00049046,8.88591058,-60.17416367,0.0,0.0
2023-06-18,17,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,380.0,430.0,0.3,2.5,,0.40508032,404.0,0.37669748,0.56771095,0.00046589,8.80873921,-64.22351618,0.0,0.0
2023-06-18,12,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,315.0,355.0,0.28,2.5,,0.3644067,334.0,0.34276575,0.52360885,0.00050066,9.24180027,-56.73599022,0.0,0.0
2023-06-18,14,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,305.0,350.0,4.68,4.68,,0.35638571,327.0,0.3316468,0.53153737,0.00052435,9.09507424,-55.68626545,0.0,0.0
2023-06-18,22,BTC-230621-26500-C,BTCUSDT,C,230621-26500,405.0,405.0,405.0,405.0,0.1,0.1,290.0,340.0,0.4,2.5,,0.45326769,314.0,0.42373031,0.46477016,0.00044031,8.46405164,-75.50437429,0.1,2640.88195604
2023-06-18,11,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,275.0,330.0,2.5,2.5,,0.35392821,302.0,0.32440186,0.50606112,0.00052664,9.31365847,-53.31804259,0.0,0.0
2023-06-18,15,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,320.0,345.0,4.94,4.68,,0.34662485,332.0,0.33276111,0.5378505,0.0005257,9.01638214,-56.25540558,0.0,0.0
2023-06-18,13,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,290.0,325.0,0.27,2.7,,0.36051393,307.0,0.34143507,0.50004482,0.00050819,9.17251432,-56.94166818,0.0,0.0
2023-06-18,8,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,275.0,330.0,2.5,2.5,,0.34646988,302.0,0.31757385,0.50596433,0.00052648,9.51685631,-51.08100558,0.0,0.0
2023-06-18,23,BTC-230621-26500-C,BTCUSDT,C,230621-26500,405.0,405.0,265.0,265.0,0.2,0.2,265.0,305.0,4.68,4.68,,0.44986546,284.0,0.42575598,0.43663941,0.00043928,8.29593713,-75.68629936,0.0,0.0
2023-06-18,20,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,400.0,405.0,0.01,5.2,,0.48217118,402.0,0.47928691,0.4977053,0.00038311,8.66741328,-84.4913525,0.0,0.0
2023-06-18,19,BTC-230621-26500-C,BTCUSDT,C,230621-26500,0.0,0.0,0.0,0.0,0.0,0.0,405.0,520.0,0.32,2.7,,0.50293565,462.0,0.43657273,0.56895941,0.00040812,8.66701274,-75.67527799,0.0,0.0
